Longitude,Latitude,State Code,County Code,Site Num,Parameter Code,POC,Datum,Parameter Name,Sample Duration,Pollutant Standard,Metric Used,Method Name,Year,Units of Measure,Event Type,Observation Count,Observation Percent,Completeness Indicator,Valid Day Count,Required Day Count,Exceptional Data Count,Null Data Count,Primary Exceedance Count,Secondary Exceedance Count,Certification Indicator,Num Obs Below MDL,Arithmetic Mean,Arithmetic Standard Dev,1st Max Value,1st Max DateTime,2nd Max Value,2nd Max DateTime,3rd Max Value,3rd Max DateTime,4th Max Value,4th Max DateTime,1st Max Non Overlapping Value,1st NO Max DateTime,2nd Max Non Overlapping Value,2nd NO Max DateTime,99th Percentile,98th Percentile,95th Percentile,90th Percentile,75th Percentile,50th Percentile,10th Percentile,Local Site Name,Address,State Name,County Name,City Name,CBSA Name,Date of Last Change
-86.815,33.553056,1,73,23,88502,3,WGS84,Acceptable PM2.5 AQI & Speciation Mass,1 HOUR,,Observed Values,Teledyne T640X at 16.67 LPM - Broadband spectroscopy,2023,Micrograms/cubic meter (LC),No Events,8704,99,Y,363,365,0,56,,,Certification not required,0,15.38187,9.76857,189,12/27/2023 6:00,107.6,12/27/2023 2:00,96.3,12/27/2023 3:00,95,2/19/2023 18:00,,,,,49.2,41.3,33.5,27.6,19.6,13,6,North Birmingham,"NO. B'HAM,SOU R.R., 3009 28TH ST. NO.",Alabama,Jefferson,Birmingham,"Birmingham-Hoover, AL",5/20/2024
-87.003611,33.331111,1,73,1005,88502,3,WGS84,Acceptable PM2.5 AQI & Speciation Mass,1 HOUR,,Observed Values,PM2.5 SCC w/No Correction Factor - TEOM Gravimetric 50 deg C,2023,Micrograms/cubic meter (LC),No Events,1060,12,N,44,365,0,7700,,,Certification not required,0,6.471321,3.363374,33.6,1/1/2023 0:00,20.6,2/8/2023 0:00,19.6,2/8/2023 2:00,19.2,2/8/2023 4:00,,,,,17.3,15.7,12.1,10.4,8.2,6.1,3,McAdory, ROUTE 8 MCADORY,Alabama,Jefferson,,"Birmingham-Hoover, AL",5/20/2024
-86.924167,33.499722,1,73,2003,88502,3,WGS84,Acceptable PM2.5 AQI & Speciation Mass,1 HOUR,,Observed Values,Thermo Scientific 1405 TEOM - Gravimetric,2023,Micrograms/cubic meter (LC),No Events,8311,95,Y,336,365,0,449,,,Certification not required,0,11.674119,8.123359,116,6/24/2023 0:00,101.7,4/20/2023 5:00,99.8,4/20/2023 6:00,85.7,4/20/2023 4:00,,,,,40.9,33.1,25.2,20.7,15,10,4,Wylam,1242 JERSEY ST WYLAM AL,Alabama,Jefferson,Birmingham,"Birmingham-Hoover, AL",5/20/2024
-78.89926,42.99813,36,29,1014,88502,3,WGS84,Acceptable PM2.5 AQI & Speciation Mass,1 HOUR,,Observed Values,PM2.5 SCC w/Correction Factor - TEOM Gravimetric 50 deg C,2023,Micrograms/cubic meter (LC),No Events,8572,98,Y,356,365,0,186,,,Certification not required,0,8.72577,9.381676,180.2,6/28/2023 16:00,173.1,6/28/2023 15:00,152.9,6/28/2023 14:00,127.1,6/28/2023 2:00,,,,,49.7,34.8,20.9,14.7,10.1,6.9,2.3,BROOKSIDE TERRACE,192 BROOKSIDE TERRACE WEST,New York,Erie,Tonawanda,"Buffalo-Cheektowaga-Niagara Falls, NY",5/20/2024
-86.58816,34.68547,1,89,14,88502,3,WGS84,Acceptable PM2.5 AQI & Speciation Mass,1 HOUR,,Observed Values,PM2.5 VSCC w/No Correction Factor - TEOM Gravimetric 30 deg C,2023,Micrograms/cubic meter (LC),No Events,2151,84,Y,90,107,0,405,,,Certification not required,0,8.797257,5.497012,48.1,3/21/2023 23:00,41.1,3/16/2023 20:00,40.1,3/22/2023 0:00,39.4,3/1/2023 7:00,,,,,28.9,25.8,19.5,15.2,10.9,7.6,3.7,HUNTSVILLE OLD AIRPORT,3720 Russell Brown Dr SW,Alabama,Madison,Huntsville,"Huntsville, AL",5/20/2024
-110.99644,31.87952,4,19,1030,88502,3,WGS84,Acceptable PM2.5 AQI & Speciation Mass,1 HOUR,,Observed Values,Met-One BAM W/PM2.5 VSCC - Beta Attenuation,2023,Micrograms/cubic meter (LC),No Events,8565,98,Y,359,365,0,195,,,Certified,0,3.244834,3.001782,68,4/4/2023 4:00,56,4/4/2023 5:00,43,4/4/2023 3:00,40,4/4/2023 6:00,,,,,11,9,7,6,5,3,0,GREEN VALLEY  -REPLACES SITE 0007 245 W ESPERANZA,601 NORTH LA CANADA DRIVE,Arizona,Pima,Green Valley,"Tucson, AZ",5/20/2024
-110.980134,32.172995,4,19,1032,88502,3,NAD83,Acceptable PM2.5 AQI & Speciation Mass,1 HOUR,,Observed Values,Met-One BAM W/PM2.5 VSCC - Beta Attenuation,2023,Micrograms/cubic meter (LC),No Events,8266,94,Y,343,365,0,494,,,Certified,0,5.806799,7.222423,163,4/9/2023 9:00,144,12/31/2023 20:00,118,12/31/2023 23:00,117,10/11/2023 8:00,,,,,32,23,15,11,7,5,1,ROSE ELEMENTARY,710 W. MICHIGAN ST.,Arizona,Pima,Tucson,"Tucson, AZ",5/20/2024
-111.12716,32.38082,4,19,1034,88502,3,WGS84,Acceptable PM2.5 AQI & Speciation Mass,1 HOUR,,Observed Values,Met-One BAM W/PM2.5 VSCC - Beta Attenuation,2023,Micrograms/cubic meter (LC),No Events,8154,93,Y,340,365,0,606,,,Certified,0,5.05764,4.560951,93,1/1/2023 0:00,72,12/31/2023 20:00,64,12/31/2023 22:00,57,12/31/2023 23:00,,,,,18,16,12,10,7,5,0,COACHLINE,9597 N. COACHLINE BLVD,Arizona,Pima,Marana,"Tucson, AZ",5/20/2024
-110.965293,32.251843,4,19,1113,88502,3,WGS84,Acceptable PM2.5 AQI & Speciation Mass,1 HOUR,,Observed Values,Met-One BAM W/PM2.5 VSCC - Beta Attenuation,2023,Micrograms/cubic meter (LC),No Events,8538,97,Y,358,365,0,222,,,Certified,0,6.759546,6.787331,181,12/31/2023 23:00,174,7/17/2023 0:00,165,12/31/2023 19:00,109,7/4/2023 20:00,,,,,30,22,16,12,8,6,2,GERONIMO,2498 N. GERONIMO,Arizona,Pima,Tucson,"Tucson, AZ",5/20/2024
-121.59135,39.77919,6,7,2002,88502,3,NAD83,Acceptable PM2.5 AQI & Speciation Mass,1 HOUR,,Observed Values,Met-one BAM-1022 W/PM2.5 SCC - Beta Attenuation,2023,Micrograms/cubic meter (LC),No Events,2595,90,Y,108,120,0,285,,,Certification not required,0,4.360308,4.189613,37,2/2/2023 10:00,21,4/9/2023 8:00,21,4/14/2023 8:00,21,4/21/2023 9:00,,,,,17,15,12,10,7,4,0,Paradise - Theater,"6701 CLARK ROAD, PARADISE",California,Butte,Paradise,"Chico, CA",5/20/2024
